Description,Stop ID,Longitude,Latitude,Routes,Municipality,Nearest Intersection,Bikerack,Bench,Shelter,Info Booth,Signpost,Discontinued,Location
Morton Ave & Elizabeth St,3497,-73.760369,42.642562,"100, 805, 806",Albany,LINCOLN SQUARE,Yes,No,Yes,No,Yes,No,"(42.642562, -73.760369)"
Ormond St & Greenway,13400,,,801,Albany,BERKSHIRE BOULEVARD,No,No,No,No,No,No,
McCarty Ave Staging Area,12780,,,,Albany,UNKNOWN,No,No,No,No,No,No,
Albany Medical Center Parking Garage,12884,-73.775708,42.652382,13,Albany,UNKNOWN,No,No,Yes,No,Yes,No,"(42.652382, -73.775708)"
Livingston Ave & Quail St,10707,-73.7684,42.66927,"106, 801, 803, 805, 872",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.66927, -73.7684)"
TSP 4th St @ Fulton ST NB CO,5386,-73.68873658,42.7324986,"922, 923",Troy,FULTON STREET,No,No,No,No,No,No,"(42.7324986, -73.68873658)"
Columbia Tpke & Forrest Dr,2585,-73.71764,42.60479,233,East Greenbush,PHILLIPS ROAD,No,No,No,No,Yes,No,"(42.60479, -73.71764)"
Everett Rd & Westside Dr (Kross Keys),10371,,,737,Colonie,KROSS KEYS DRIVE,No,No,No,No,Yes,No,
Delaware Ave & Cherry Ave,10595,-73.850992,42.615616,18,Bethlehem,UNKNOWN,No,No,Yes,No,No,No,"(42.615616, -73.850992)"
Lake Ave & Broadway,12178,-73.784276,43.083198,"451, 452",Saratoga Springs,BRITTON PLACE,No,No,No,No,Yes,No,"(43.083198, -73.784276)"
Broadway & Van Woert St,118,-73.74573,42.66032,"22, 805, 806",Albany,VAN WOERT STREET,No,Yes,Yes,No,Yes,No,"(42.66032, -73.74573)"
Maple Rd & Forest Dr,1806,-73.91292,42.64661,519,New Scotland,UNKNOWN,No,No,No,No,Yes,No,"(42.64661, -73.91292)"
Rt 50 & Horstman Dr,2443,-73.943986,42.847249,450,Glenville,HORSTMAN DRIVE,No,No,No,No,Yes,No,"(42.847249, -73.943986)"
Albany Shaker Rd &  Kimberly Sq,1970,-73.77785,42.70745,737,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.70745, -73.77785)"
Quail St & Washington Ave,3423,-73.77515,42.66384,"99, 100, 801, 803",Albany,BENSON STREET,No,No,No,No,Yes,No,"(42.66384, -73.77515)"
80 Wolf Rd,10522,,,"1, 117, 125, 190, 807, 813",Colonie,UNKNOWN,No,No,Yes,No,Yes,No,
