Description,Stop ID,Longitude,Latitude,Routes,Municipality,Nearest Intersection,Bikerack,Bench,Shelter,Info Booth,Signpost,Discontinued,Location
1160 Central Ave (Sunset Lanes),193,,,"1, 807",Colonie,UNKNOWN,No,No,No,No,Yes,No,
River St & 101st St,852,,,802,Troy,REGATTA PLACE,No,No,No,No,Yes,No,
Whitehall Rd & Picotte Dr,1194,,,"801, 803",Albany,UNKNOWN,No,No,No,No,No,No,
Rt 50  & 5th St,1737,-73.957117,42.832875,450,Glenville,UNKNOWN,No,No,No,No,Yes,No,"(42.832875, -73.957117)"
Craig St & Duane Ave,3606,,,"353, 873",Schenectady,LINCOLN AVENUE,No,No,No,No,Yes,No,
,1,,,,,,No,No,No,No,Yes,No,
Shaker Place,10512,-73.81481,42.743285,"117, 155",Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.743285, -73.81481)"
Ormond St & Berkshire Blvd,10656,,,"803, 806",Albany,UNKNOWN,No,No,No,No,No,No,
Grafton Lake State Park,11707,,,96,Grafton,UNKNOWN,Yes,No,No,No,Yes,No,
Old Wolf Rd & Northway Ln,12701,,,190,Colonie,UNKNOWN,No,No,No,No,Yes,No,
Lake Ave & Nelson Ave,11491,-73.776321,43.08347,451,Saratoga Springs,WARREN STREET,No,No,No,No,Yes,No,"(43.08347, -73.776321)"
Rt 50 & Hetchel Town Rd,2311,-73.91172,42.89706,450,Glenville,HETCHELTOWN ROAD,No,No,No,No,Yes,No,"(42.89706, -73.91172)"
Henry Johnson Blvd & Central Ave,3003,-73.764727,42.65851,"182, 737, 803",Albany,CENTRAL AVENUE,Yes,No,No,No,Yes,No,"(42.65851, -73.764727)"
Central Ave & Van Buren Ave,190,-73.81338,42.70037,"1, 807",Colonie,AHL AVENUE,No,No,No,No,Yes,No,"(42.70037, -73.81338)"
Henry Johnson Blvd & 1st St,11615,-73.760793,42.66172,"182, 737, 801, 803",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.66172, -73.760793)"
,2409,,,,,,No,No,No,No,Yes,No,
5th Ave & 120th St,4465,-73.67099,42.77986,85,Troy,120TH STREET,No,No,No,No,Yes,No,"(42.77986, -73.67099)"
Congress St & 15th St,10037,-73.67957,42.7227,"286, 289, 802",Troy,UNKNOWN,No,No,No,No,Yes,No,"(42.7227, -73.67957)"
Quail St & Madison Ave,3482,-73.77976,42.65948,"100, 801, 803",Albany,HAMILTON STREET,No,No,No,No,Yes,No,"(42.65948, -73.77976)"
Clizbe Ave & Northern Blvd,13268,,,600,Amsterdam,UNKNOWN,No,No,No,No,Yes,No,
Normansill Preserve West (Nature Bus),12992,,,,Bethlehem,NORMANSKILL BOULEVARD,No,No,No,No,No,No,
TSP South Pearl @ First Ave SB CI,5525,-73.76051266,42.6366964,923,Albany,2ND AVENUE,No,No,No,No,Yes,No,"(42.6366964, -73.76051266)"
TSP Clinton Ave @ Broadway EB CO,5340,-73.74880632,42.65401433,"922, 923",Albany,US 9,No,No,No,No,No,No,"(42.65401433, -73.74880632)"
Lake Ave & Henry St,12633,,,"451, 452, 540",Saratoga Springs,HENRY STREET,No,No,No,No,Yes,No,
Albany Shaker Rd & St. Agnes Ln,2685,-73.75257,42.67457,737,Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.67457, -73.75257)"
Washington Ave & Forbes Ave,10783,-73.72694,42.6587,"214, 808",Rensselaer,SEVENTH STREET,No,No,No,No,Yes,No,"(42.6587, -73.72694)"
5th Ave & 121st St,4499,-73.67042,42.78108,85,Troy,121ST STREET,No,No,No,No,Yes,No,"(42.78108, -73.67042)"
Rt 50 & Bruce Rd,10307,-73.96001,42.82918,450,Glenville,BRUCE STREET,No,No,No,No,Yes,No,"(42.82918, -73.96001)"
Broadway & Interstate 890,11296,-73.947041,42.806076,"351, 763, 810",Schenectady,VAN GUYSLING AVENUE,No,No,No,No,Yes,No,"(42.806076, -73.947041)"
TSP Broadway @ Brookside SB CO,5250,-73.72475508,42.69174467,"922, 923",Colonie,IRVING PLACE,No,No,No,No,No,No,"(42.69174467, -73.72475508)"
Central Ave & Red Fox Dr,2279,-73.84037,42.72435,355,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.72435, -73.84037)"
Warehouse District Station-Broadway & Pleasant St,12968,,,"22, 805, 806, 922, 923",Albany,PLEASANT STREET,No,Yes,Yes,No,Yes,No,
Clinton Ave & N. Lake Ave,3466,-73.76931,42.6654,"125, 805",Albany,NORTH LAKE AVENUE,No,No,No,No,Yes,No,"(42.6654, -73.76931)"
TSP Second Ave @ Frisbie Avenue EB CO,5308,-73.77333196,42.63916044,922,Albany,SAND STREET,No,No,No,No,No,No,"(42.63916044, -73.77333196)"
Whitehall Rd & Delaware Ave,1232,-73.78526,42.64044,"106, 801, 803, 805, 806",Albany,UNKNOWN,Yes,No,No,No,Yes,No,"(42.64044, -73.78526)"
Norwood Ave & Chrisler Ave,13126,,,810,Schenectady,VAN CORTLAND STREET,No,No,No,No,No,No,
TSP River St @ Middleburgh St SB CO,5208,-73.68371894,42.74585573,"922, 923",Troy,CLYDE REA PLACE,No,No,No,No,No,No,"(42.74585573, -73.68371894)"
Madison Ave & Willett St,350,-73.76923,42.65321,"13, 114, 115, 805, 806",Albany,MADISON AVENUE,Yes,No,No,No,Yes,No,"(42.65321, -73.76923)"
Watt St & Dartmouth St,13338,,,810,Schenectady,DARTMOUTH STREET,No,No,No,No,Yes,No,
Delaware Ave  & McAlpin St,10675,-73.78439,42.63783,805,Albany,DELAWARE AVENUE,No,No,No,No,No,No,"(42.63783, -73.78439)"
Garner St & Johnston Ave,4111,-73.707235,42.775335,182,Cohoes,JOHNSTON AVENUE,No,No,No,No,Yes,No,"(42.775335, -73.707235)"
Columbia St & Lancaster St,4007,,,522,Cohoes,LANCASTER STREET,No,No,No,No,Yes,No,
872 Rt 50 (Terry Morris Ford),12175,-73.885996,42.920511,450,Ballston,FOREST ROAD,No,No,No,No,Yes,No,"(42.920511, -73.885996)"
Union Ave & Saratoga Race Track Gate 1,12190,-73.76959,43.07494,840,Saratoga Springs,UNKNOWN,No,No,No,No,No,No,"(43.07494, -73.76959)"
Columbia Tpke & Horizon View Dr,2513,-73.69427,42.58422,233,East Greenbush,HORIZON VIEW DRIVE WEST,No,No,No,No,Yes,No,"(42.58422, -73.69427)"
Madison Ave & Grand St,12350,-73.756958,42.646426,"114, 870",Albany,GRAND STREET,No,No,No,No,Yes,No,"(42.646426, -73.756958)"
Western Ave & Robin St,261,-73.77008,42.65961,"10, 12, 808",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.65961, -73.77008)"
Madison Ave & Grand St,12321,-73.756359,42.646221,114,Albany,TRINITY PLACE,No,No,No,No,Yes,No,"(42.646221, -73.756359)"
Saratoga Springs YMCA / Senior Center,15597,,,"451, 840",Saratoga Springs,UNKNOWN,No,No,No,No,Yes,No,
Central Ave & Marjorie Rd,11322,-73.86848,42.74864,355,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.74864, -73.86848)"
3rd St & Fowler Ave,11410,-73.73231,42.65432,"214, 808",Rensselaer,FOWLER AVENUE,No,No,No,No,Yes,No,"(42.65432, -73.73231)"
TSP Second Ave @ Elizabeth / Krank St SB CI,5293,-73.762064,42.637874,922,Albany,BENJAMIN STREET,No,No,No,No,No,No,"(42.637874, -73.762064)"
4th St & Monroe St,11156,-73.692164,42.71683,"85, 224, 802",Troy,CHURCH STREET,No,No,No,No,Yes,No,"(42.71683, -73.692164)"
19 New Turnpike Rd,7178,-73.66802,42.78704,85,Troy,125TH STREET,No,No,No,No,Yes,No,"(42.78704, -73.66802)"
Amsterdam Rail Station,13222,-74.219321,42.953938,602,Amsterdam,UNKNOWN,No,No,No,No,Yes,No,"(42.953938, -74.219321)"
Altamont Ave & Price Chopper,11235,-73.954141,42.782026,"352, 353",Rotterdam,ELIZABETH STREET,No,Yes,Yes,No,Yes,No,"(42.782026, -73.954141)"
Wolf Rd & Lazare Lincoln Dealer,10519,-73.80553,42.71929,"117, 190",Colonie,WOLF ROAD SHOPPERS PARK,No,No,No,No,Yes,No,"(42.71929, -73.80553)"
572 Saratoga St (CDT Automotive),11084,-73.700385,42.75606,182,Cohoes,UNKNOWN,No,No,No,No,Yes,No,"(42.75606, -73.700385)"
Burdett Ave & Sherry Rd,12017,-73.671972,42.731223,"87, 802",Troy,UNKNOWN,No,No,No,No,Yes,No,"(42.731223, -73.671972)"
Guilderland Ave & Westingtonhouse Pl,1621,-73.960405,42.799292,"763, 810",Schenectady,BROADWAY,No,No,No,No,Yes,No,"(42.799292, -73.960405)"
TSP River St @ Bond St NB CO,5398,-73.68244919,42.75073843,"922, 923",Troy,BOND STREET,No,No,No,No,No,No,"(42.75073843, -73.68244919)"
Union St & Garner St,3638,-73.90677,42.8057,"370, 810",Schenectady,GARNER AVENUE,No,No,No,No,Yes,No,"(42.8057, -73.90677)"
Livingston Ave & Terminal St,10346,-73.773692,42.672471,"106, 803, 805, 872",Albany,TERMINAL STREET,No,No,No,No,Yes,No,"(42.672471, -73.773692)"
5th St & Vley Rd,12489,-73.96281,42.83288,353,Glenville,VLEY ROAD,No,No,No,No,Yes,No,"(42.83288, -73.96281)"
Wallins Corners Rd & Midline Rd,13325,,,601,Amsterdam,LAUREL DRIVE,No,No,No,No,Yes,No,
5th Ave & 123rd St,4314,-73.66938,42.78331,85,Troy,122ND STREET,No,No,No,No,Yes,No,"(42.78331, -73.66938)"
Walmart - Brunswick Plaza,2867,-73.63947,42.74564,"87, 815",Brunswick,UNKNOWN,No,No,No,No,Yes,No,"(42.74564, -73.63947)"
Tibbits Ave & Bouton Rd,3112,-73.675159,42.725135,87,Troy,BOUTON ROAD,No,No,No,No,Yes,No,"(42.725135, -73.675159)"
Westside Ave & Helderberg Ave,13370,,,810,Rotterdam,HELDERBERG AVENUE,No,No,No,No,Yes,No,
N. Allen St & Lincoln Ave,1115,-73.78577,42.67245,"106, 801, 803, 806",Albany,LINCOLN AVENUE,No,No,No,No,Yes,No,"(42.67245, -73.78577)"
Central Ave & Willow Ave,2278,-73.8424,42.72613,355,Colonie,WILLOW AVENUE,No,No,No,No,Yes,No,"(42.72613, -73.8424)"
Clinton Ave & N. Hawk St,3476,-73.75375,42.65637,"125, 805",Albany,NORTH HAWK STREET,No,No,No,No,Yes,No,"(42.65637, -73.75375)"
New Scotland Ave & Harding St,711,-73.81203,42.65901,"13, 106, 805, 806",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.65901, -73.81203)"
Prospect St & Main St,12649,-73.929535,42.655286,519,New Scotland,UNKNOWN,No,No,No,No,Yes,No,"(42.655286, -73.929535)"
N. Allen St & Western Ave,10842,-73.79187,42.66672,"106, 801, 803, 806",Albany,WESTERN AVENUE,Yes,No,No,No,Yes,No,"(42.66672, -73.79187)"
Simmons Ave & Elm St,3072,-73.713715,42.774867,"182, 522",Cohoes,WITBECK AVENUE,No,No,No,No,Yes,No,"(42.774867, -73.713715)"
3 Lark St(discontinued),10695,-73.75496,42.66394,,Albany,<Beginning>,No,No,No,No,Yes,No,"(42.66394, -73.75496)"
285 Pawling Ave,4452,-73.66482,42.71067,"286, 802",Troy,MYRTLE AVENUE,No,No,No,No,Yes,No,"(42.71067, -73.66482)"
Division St & Wall St,13231,-74.195287,42.940568,"600, 602",Amsterdam,WALL STREET,No,No,No,No,Yes,No,"(42.940568, -74.195287)"
Washington Ave & Henry Johnson Blvd,12942,-73.76554,42.658061,"10, 12, 808",Albany,HENRY JOHNSON BOULEVARD,Yes,No,Yes,No,Yes,No,"(42.658061, -73.76554)"
Livingston Ave & Lark St,10723,-73.75663,42.662515,"100, 106, 801, 872",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.662515, -73.75663)"
Wade Rd Ext @ Latham Center,12706,-73.769752,42.758574,190,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.758574, -73.769752)"
1 Executive Centre Dr (Honeywell),12549,,,"155, 801, 803",Albany,UNKNOWN,No,No,No,No,Yes,No,
Van Rensselaer Blvd & Sky Hollow Dr,12672,-73.741188,42.686727,182,Colonie,WARDS LANE,No,No,No,No,Yes,No,"(42.686727, -73.741188)"
Broadway & Ontario St,3592,-73.969519,42.796096,351,Schenectady,SHANNON STREET,No,No,No,No,Yes,No,"(42.796096, -73.969519)"
N Pearl St & N 1st St,3324,,,"803, 806",Albany,NORTH 1ST STREET,No,No,No,No,No,No,
High St & Garner St,11060,-73.704667,42.772873,182,Cohoes,ONTARIO STREET,No,No,No,No,Yes,No,"(42.772873, -73.704667)"
3484 Carman Rd (Omni Senior Living),1608,-73.942684,42.741864,763,Guilderland,UNKNOWN,No,No,No,No,Yes,No,"(42.741864, -73.942684)"
845 Rt 50 - Burnt Hills Post Office,12869,-73.890144,42.91803,450,Ballston,WELLNESS DRIVE,No,No,No,No,Yes,No,"(42.91803, -73.890144)"
Livingston Ave & Thorton St,683,-73.76141,42.66533,"100, 106, 801, 803, 805, 872",Albany,MC ARDLE AVENUE,No,No,No,No,Yes,No,"(42.66533, -73.76141)"
150 Lincoln Ave,12848,,,451,Saratoga Springs,ADAMS STREET,No,No,No,No,Yes,No,
Quail St & Hamilton St,3276,-73.779427,42.659832,"100, 801, 803",Albany,HUDSON AVENUE,No,No,No,No,Yes,No,"(42.659832, -73.779427)"
Route 378 Station - 550 Broadway,1,-73.71619,42.70225,"22, 922, 923",Colonie,UNKNOWN,No,Yes,Yes,No,Yes,No,"(42.70225, -73.71619)"
102nd Street Station - 2nd Ave & 102nd St,4041,-73.682478,42.7557,"802, 922, 923",Troy,MC LAUGHLIN LANE,No,Yes,Yes,No,Yes,No,"(42.7557, -73.682478)"
Exit 9 - Crossing Park & Ride,12307,-73.77089,42.8602,540,Clifton Park,UNKNOWN,No,No,Yes,No,Yes,No,"(42.8602, -73.77089)"
65 Elm Ave(Bethlehem Sch Maint Dept),2586,,,519,Bethlehem,UNKNOWN,No,No,No,No,Yes,No,
Washington Ave & Colvin Ave,1959,-73.79748,42.67657,"12, 114, 801, 803",Albany,COLVIN AVENUE,No,No,No,No,Yes,No,"(42.67657, -73.79748)"
Rt 50 & Littles Rd,2341,-73.878729,42.929591,450,Ballston,LITTLES ROAD,No,No,No,No,Yes,No,"(42.929591, -73.878729)"
20 Corporate Woods Dr,10650,-73.76437,42.68038,"99, 737",Colonie,CORPORATE WOODS BOULEVARD,No,No,No,No,Yes,No,"(42.68038, -73.76437)"
5th Ave & 108th St,4407,-73.6776,42.76542,85,Troy,108TH STREET,No,No,No,No,Yes,No,"(42.76542, -73.6776)"
Route 378 Station - 563 Broadway,11001,-73.71584,42.7023,"22, 922, 923",Colonie,UNKNOWN,No,Yes,Yes,No,Yes,No,"(42.7023, -73.71584)"
Morrison Ave & Vandenburg Ave,10994,-73.689533,42.700404,"85, 802",Troy,UNKNOWN,No,No,No,No,Yes,No,"(42.700404, -73.689533)"
Western Ave & Magazine St,234,-73.82053,42.67554,"10, 115, 803, 806, 808",Albany,TUDOR ROAD,No,No,No,No,Yes,No,"(42.67554, -73.82053)"
TSP 4th St @ Federal St NB CO,5388,-73.6877558,42.73481042,"922, 923",Troy,FEDERAL STREET,No,No,No,No,No,No,"(42.73481042, -73.6877558)"
Walmart-Wilton,12143,-73.74776,43.10405,"450, 452, 840",Wilton,UNKNOWN,No,Yes,Yes,No,Yes,No,"(43.10405, -73.74776)"
TSP River St @ Jay St NB CI,5393,-73.68575027,42.74007072,"922, 923",Troy,UNKNOWN,No,No,No,No,No,No,"(42.74007072, -73.68575027)"
Van Vranken Ave & Gerling St,3657,-73.92135,42.82848,"351, 810, 998",Schenectady,GERLING STREET,No,No,No,No,Yes,No,"(42.82848, -73.92135)"
Clinton Ave & Swan St,10136,-73.75511,42.65716,"125, 805",Albany,NORTH HAWK STREET,Yes,No,No,No,Yes,No,"(42.65716, -73.75511)"
Broadway & Eleanor St,1627,-73.97161,42.79528,"351, 810",Schenectady,HARRISON AVENUE,No,No,No,No,Yes,No,"(42.79528, -73.97161)"
S. Allen St & Park Ave,1205,-73.794604,42.664116,"106, 801, 805",Albany,MYRTLE AVENUE,No,No,No,No,Yes,No,"(42.664116, -73.794604)"
Burdett Ave & Sherry Rd,11940,-73.672026,42.731452,"87, 802",Troy,SHERRY ROAD,No,No,No,No,Yes,No,"(42.731452, -73.672026)"
Broadway & State St (Parking Garage Crosswalk),12411,-73.943077,42.812596,"351, 810",Schenectady,UNKNOWN,No,No,Yes,No,Yes,No,"(42.812596, -73.943077)"
229 Mt. Hope Dr,10735,-73.771281,42.63197,"107, 801, 803, 805",Albany,GARLAND COURT,No,No,No,No,Yes,No,"(42.63197, -73.771281)"
Garner St & Johnston Ave,4152,-73.707455,42.775458,182,Cohoes,WILLOW STREET,No,No,No,No,Yes,No,"(42.775458, -73.707455)"
Nott St & Shop Rite Plaza,11264,-73.89026,42.81628,354,Niskayuna,UNKNOWN,No,No,No,No,Yes,No,"(42.81628, -73.89026)"
20 Corporate Woods,10373,-73.76416,42.68041,737,Colonie,CORPORATE WOODS BOULEVARD,No,No,No,No,Yes,No,"(42.68041, -73.76416)"
Western Ave & W. Lawrence St,1356,-73.79034,42.66599,"10, 11, 114, 115, 805, 808",Albany,WEST LAWRENCE STREET,Yes,No,No,No,Yes,No,"(42.66599, -73.79034)"
Lark Dr & Arbor Dr (Arbor Hill Elementary),3358,-73.74884,42.66191,"100, 106, 805, 872",Albany,UNKNOWN,No,Yes,Yes,No,Yes,No,"(42.66191, -73.74884)"
Western Ave & University Pl,413,-73.82211,42.67619,"10, 115, 803, 806, 808",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.67619, -73.82211)"
Rt 4 & Winter St Ext,4202,-73.69033,42.67849,"224, 808",North Greenbush,WINTER STREET,No,No,No,No,Yes,No,"(42.67849, -73.69033)"
S. Swan St & Washington Ave,1790,-73.759071,42.654066,"22, 214, 224, 233, 519, 522, 523, 524, 540, 560",Albany,STATE STREET,No,Yes,Yes,No,Yes,No,"(42.654066, -73.759071)"
Broadway Station - Broadway & Hudson Ave,3937,-73.75066,42.64812,"1, 13, 18, 114, 214, 233, 523, 737, 807, 808, 870, 905, 910",Albany,BROADWAY,Yes,Yes,Yes,No,Yes,No,"(42.64812, -73.75066)"
Mohawk Ave & Rt 50,12196,-73.9619,42.82539,"353, 602, 873",Glenville,NORTH BALLSTON AVENUE,No,No,No,No,Yes,No,"(42.82539, -73.9619)"
Ferry St & 6th Ave (City Station),12775,,,"289, 802",Troy,UNKNOWN,No,No,No,No,Yes,No,
Van Rensselaer Blvd & Wolfert Ave,2091,-73.74293,42.67965,182,Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.67965, -73.74293)"
Ormond St & Berkshire Blvd,13434,,,801,Albany,BERKSHIRE BOULEVARD,No,No,No,No,No,No,
Columbia Tpke & Elliot Ave,2519,-73.70464,42.59373,233,East Greenbush,ELLIOT AVENUE,No,No,No,No,Yes,No,"(42.59373, -73.70464)"
Columbia Tpke & Lake View Ave,10928,-73.73727,42.62221,233,East Greenbush,HILLVIEW AVENUE,No,No,No,No,Yes,No,"(42.62221, -73.73727)"
Ontario St & Clinton Ave,3427,,,801,Albany,CLINTON AVENUE,Yes,No,No,No,No,No,
Sage Ave @ 87 Gymnasium PE Building,11637,-73.678718,42.730964,"286, 289, 802",Troy,11TH STREET,No,No,Yes,No,Yes,No,"(42.730964, -73.678718)"
Pinehurst Estates,11348,-73.87795,42.71123,"801, 803",Albany,WOODRIDGE STREET,No,No,No,No,Yes,No,"(42.71123, -73.87795)"
Manning Blvd & Lancaster St,13397,,,801,Albany,MANNING BOULEVARD,No,No,No,No,No,No,
TSP South Pearl @ Second Ave NB CI,5535,-73.76185515,42.6354402,923,Albany,BOUCK STREET,No,No,No,No,No,No,"(42.6354402, -73.76185515)"
TSP Broadway @ Rt 378 Off Ramp SB CI,5245,-73.7171606,42.70105056,"922, 923",Colonie,UNKNOWN,No,No,No,No,No,No,"(42.70105056, -73.7171606)"
Western Ave & Quail St,283,-73.777041,42.661861,"10, 11, 115, 808, 910",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.661861, -73.777041)"
Central Ave & Taft Furniture,11316,-73.85838,42.73991,355,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.73991, -73.85838)"
State St & Gifford Rd,2379,-73.89914,42.77597,355,Schenectady,GIFFORD ROAD,No,No,No,No,Yes,No,"(42.77597, -73.89914)"
Rt 7 & Kennette Rd,2470,-73.798009,42.76315,"370, 873",Colonie,MILL ROAD,No,No,No,No,Yes,No,"(42.76315, -73.798009)"
Main Ave & Douglas St,4398,-73.640196,42.695795,286,North Greenbush,DOUGLAS STREET,No,No,No,No,Yes,No,"(42.695795, -73.640196)"
East St & Wendell St,10799,-73.73973,42.64257,"214, 808",Rensselaer,WENDELL STREET,No,No,No,No,Yes,No,"(42.64257, -73.73973)"
Sand Creek Rd & Russell Rd,617,-73.78191,42.68894,125,Colonie,RUSSELL ROAD,No,No,No,No,Yes,No,"(42.68894, -73.78191)"
Western Ave & Campus Access Road,866,-73.812586,42.67317,"10, 115, 801, 808",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.67317, -73.812586)"
N. Main St & Western Ave,11780,-73.78808,42.6655,805,Albany,WESTERN AVENUE,No,No,No,No,Yes,No,"(42.6655, -73.78808)"
Mt Hope Plaza,12979,,,"107, 801, 803, 805",Albany,SOUTHERN BOULEVARD,No,No,No,No,Yes,No,
Carman Rd & Ronald Pl,3542,-73.94295,42.7521,763,Guilderland,RONALD PLACE,No,No,No,No,Yes,No,"(42.7521, -73.94295)"
Wesleyan Ave & Evelyn Ave,13254,,,600,Amsterdam,FAIRMOUNT AVENUE,No,No,No,No,Yes,No,
TSP Broadway @ Bank of America Rd NB CI,5361,-73.71737485,42.70054918,"922, 923",Colonie,UNKNOWN,No,No,No,No,No,No,"(42.70054918, -73.71737485)"
Columbia & Broadway,13007,,,525,Albany,BROADWAY,Yes,No,No,No,Yes,No,
312 Wolf Rd (Town of Colonie Pubilc Safety Center),12702,-73.79196,42.735451,190,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.735451, -73.79196)"
McClellan St & Grand Blvd,12439,-73.90752,42.81623,352,Schenectady,GRAND BOULEVARD,No,No,No,No,Yes,No,"(42.81623, -73.90752)"
Duane Ave & Kelton Ave,12455,-73.92814,42.79799,"352, 810",Schenectady,KELTON AVENUE,No,No,No,No,Yes,No,"(42.79799, -73.92814)"
Consaul Rd & Eastholm Rd,13357,,,810,Schenectady,MARRIOTT AVENUE,No,No,No,No,Yes,No,
Duane Ave & McClyman St,11221,-73.93436,42.80093,810,Schenectady,MCCLYMAN STREET,No,No,No,No,No,No,"(42.80093, -73.93436)"
TSP South Pearl @ Madison Ave SB CO,5282,-73.75492621,42.64562728,"922, 923",Albany,MADISON AVENUE,No,No,No,No,No,No,"(42.64562728, -73.75492621)"
Guy Park Ave & Genevieve St,13219,,,602,Amsterdam,GENEVIEVE STREET,No,No,No,No,Yes,No,
UAlbany Campus Center,10615,-73.82618,42.68504,"115, 910",Guilderland,UNKNOWN,Yes,Yes,Yes,No,Yes,No,"(42.68504, -73.82618)"
Olean St & Broadway,13023,,,810,Schenectady,THIRTEENTH STREET,No,No,No,No,Yes,No,
3rd St & Liberty St,7120,-73.691543,42.72552,"85, 224, 802",Troy,DIVISION STREET,No,No,No,No,Yes,No,"(42.72552, -73.691543)"
S. Pearl St & Westerlo St,3408,-73.755669,42.643991,"100, 106, 107, 801, 805, 806, 872",Albany,WESTERLO STREET,No,No,Yes,No,Yes,No,"(42.643991, -73.755669)"
604 State St,12826,-73.939797,42.810981,"351, 353, 354, 370, 602",Schenectady,LAFAYETTE STREET,No,No,Yes,No,Yes,No,"(42.810981, -73.939797)"
Berkshire Blvd & Adirondack St,13411,,,"801, 803, 806",Albany,ADIRONDACK STREET,No,No,No,No,No,No,
Van Schaick Station - Ontario St & Park Ave,12929,,,922,Cohoes,PARK AVENUE,No,Yes,Yes,No,Yes,No,
TSP Third Ave @ 7th St SB CO,5240,-73.70639116,42.71430919,"922, 923",Watervliet,UNKNOWN,No,No,No,No,No,No,"(42.71430919, -73.70639116)"
TSP Broadway @ Loudonville Road SB CI,5261,-73.7419757,42.66597987,"922, 923",Albany,UNKNOWN,No,No,No,No,No,No,"(42.66597987, -73.7419757)"
New Scotland Ave & Pinewood Ave,1031,-73.7926,42.65368,"13, 803",Albany,GLENWOOD STREET,Yes,No,No,No,Yes,No,"(42.65368, -73.7926)"
Manning Blvd & Lancaster St,13405,,,801,Albany,MANNING BOULEVARD,No,No,No,No,No,No,
TSP Ontario St @ Park Ave WB CO,5508,-73.68810893,42.77299595,922,Cohoes,PARK AVENUE,No,No,No,No,No,No,"(42.77299595, -73.68810893)"
Main Ave & Sharpe Rd,10979,-73.62815,42.692335,286,North Greenbush,MILHIZER AVENUE,No,No,No,No,Yes,No,"(42.692335, -73.62815)"
Marwill St & Ten Eyck Ave,11933,,,"801, 803",Albany,WHITEHALL ROAD,No,No,No,No,No,No,
Rt 7 & Hickory Rd,2482,-73.87804,42.79373,"370, 873",Niskayuna,UNKNOWN,No,No,No,No,Yes,No,"(42.79373, -73.87804)"
Van Vranken Ave & Lang St,3547,-73.92495,42.82295,"351, 810, 998",Schenectady,LANG STREET,No,No,No,No,Yes,No,"(42.82295, -73.92495)"
Golf Rd & Ward Ave,13038,,,810,Schenectady,FEHR AVENUE,No,No,No,No,Yes,No,
TSP 4th St @ Broadway NB CI,5383,-73.68928337,42.7300643,"922, 923",Troy,STATE STREET,No,No,No,No,No,No,"(42.7300643, -73.68928337)"
7th Ave & 101st St,13043,,,802,Troy,GARDEN COURT,No,No,No,No,Yes,No,
Rt 4 & Glenmore Rd,11120,-73.687068,42.692546,"85, 224",North Greenbush,UNKNOWN,No,No,No,No,Yes,No,"(42.692546, -73.687068)"
3rd Ave & 7th St,10,-73.70626,42.71447,22,Watervliet,7TH STREET,No,No,No,No,Yes,No,"(42.71447, -73.70626)"
Watervliet Ave & 3rd St,10345,,,"99, 106, 125, 803",Albany,3RD STREET,No,No,No,No,Yes,No,
Rt 2 & Latham Village Ln,2918,-73.75189,42.74493,370,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.74493, -73.75189)"
Elton Ave & Oakland Ave,16001,,,,Schenectady,UNKNOWN,No,No,No,No,Yes,No,
Main St & Newark St,4170,-73.70058,42.767867,182,Cohoes,NEWARK STREET,No,No,No,No,Yes,No,"(42.767867, -73.70058)"
Carman Rd & Ronald Pl,1562,-73.94307,42.75233,763,Guilderland,RONALD PLACE,No,No,No,No,Yes,No,"(42.75233, -73.94307)"
Western Ave & Knowles Terr,305,,,"10, 808",Guilderland,BROOKWOOD AVENUE,No,No,No,No,Yes,No,
Rt 7 & Wade Rd,11302,-73.777214,42.756648,370,Colonie,WADE ROAD EXTENSION,No,Yes,Yes,No,Yes,No,"(42.756648, -73.777214)"
Lowes Dr,12145,-73.74136,43.10706,"450, 452, 840",Wilton,UNKNOWN,No,No,No,No,Yes,No,"(43.10706, -73.74136)"
New Scotland Ave & Halsdorf St,708,-73.80686,42.6586,"13, 106, 805, 806",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.6586, -73.80686)"
TSP South Pearl @ Old South Pearl CO,5530,-73.767311,42.627765,923,Albany,UNKNOWN,No,No,No,No,No,No,"(42.627765, -73.767311)"
Division Station - State St & Division St,11328,-73.924762,42.798767,"355, 810, 812, 905",Schenectady,UNKNOWN,No,Yes,Yes,No,Yes,No,"(42.798767, -73.924762)"
Edward St & Vrooman Ave,13283,,,600,Amsterdam,VROOMAN AVENUE,No,No,No,No,Yes,No,
